Summary Level	Geographic Component	State FIPS	Place FIPS	County FIPS	Tract	Zip	Block	Name	Latitude	Longitude
160	00	06	40746					Laton CDP	36.434900	-119.685835
160	00	06	40830					La Verne city	34.114361	-117.771348
160	00	06	40886					Lawndale city	33.886764	-118.353556
160	00	06	40928					Laytonville CDP	39.674818	-123.488757
160	00	06	40956					Lebec CDP	34.842248	-118.884151
160	00	06	41040					Le Grand CDP	37.229177	-120.249938
160	00	06	41110					Lemon Cove CDP	36.381425	-119.025917
160	00	06	41124					Lemon Grove city	32.733451	-117.033702
160	00	06	41152					Lemoore city	36.303874	-119.786449
160	00	06	41166					Lemoore Station CDP	36.260534	-119.891936
160	00	06	41180					Lennox CDP	33.939813	-118.357482
160	00	06	41194					Lenwood CDP	34.878243	-117.107755
160	00	06	41278					Lewiston CDP	40.699213	-122.810684
160	00	06	41282					Lexington Hills CDP	37.157695	-121.984013
160	00	06	41474					Lincoln city	38.887121	-121.295973
160	00	06	41558					Lincoln Village CDP	38.004122	-121.334544
160	00	06	41572					Linda CDP	39.125181	-121.563006
160	00	06	41670					Linden CDP	38.019989	-121.091450
160	00	06	41712					Lindsay city	36.207172	-119.088810
160	00	06	41789					Little Grass Valley CDP	39.716311	-120.976287
160	00	06	41880					Littlerock CDP	34.525056	-117.990048
160	00	06	41922					Live Oak CDP	36.981363	-121.980476
160	00	06	41936					Live Oak city	39.274518	-121.662003
160	00	06	41992					Livermore city	37.685496	-121.764096
160	00	06	42006					Livingston city	37.384530	-120.721582
160	00	06	42104					Lockeford CDP	38.157565	-121.151455
160	00	06	42202					Lodi city	38.128751	-121.280926
160	00	06	42370					Loma Linda city	34.048364	-117.250648
160	00	06	42412					Loma Rica CDP	39.314149	-121.402497
160	00	06	42468					Lomita city	33.793384	-118.316110
160	00	06	42524					Lompoc city	34.646182	-120.460316
160	00	06	42566					London CDP	36.475995	-119.442332
160	00	06	42580					Lone Pine CDP	36.586402	-118.070668
160	00	06	43000					Long Beach city	33.804133	-118.158028
160	00	06	43140					Loomis town	38.816436	-121.192778
160	00	06	43224					Los Alamitos city	33.802316	-118.064448
160	00	06	43252					Los Alamos CDP	34.741984	-120.275397
160	00	06	43280					Los Altos city	37.368190	-122.097511
160	00	06	43294					Los Altos Hills town	37.371390	-122.137605
160	00	06	44000					Los Angeles city	34.086159	-118.375984
160	00	06	44028					Los Banos city	37.062356	-120.844174
160	00	06	44112					Los Gatos town	37.236044	-121.961768
160	00	06	44140					Los Molinos CDP	40.024439	-122.099442
160	00	06	44280					Lost Hills CDP	35.614199	-119.689247
160	00	06	44350					Lower Lake CDP	38.909441	-122.608618
160	00	06	44364					Loyalton city	39.676558	-120.243157
160	00	06	44378					Loyola CDP	37.351391	-122.100526
160	00	06	44399					Lucas Valley-Marinwood CDP	38.027989	-122.562783
160	00	06	44406					Lucerne CDP	39.087790	-122.791108
160	00	06	44574					Lynwood city	33.924642	-118.201862
160	00	06	44700					McArthur CDP	41.050534	-121.399816
160	00	06	44784					McCloud CDP	41.254682	-122.136321
160	00	06	44812					Macdoel CDP	41.826675	-122.005389
160	00	06	44826					McFarland city	35.678428	-119.230236
160	00	06	44910					McKinleyville CDP	40.947392	-124.102547
160	00	06	44924					McKittrick CDP	35.302498	-119.628039
160	00	06	45022					Madera city	36.963411	-120.067316
160	00	06	45050					Madera Acres CDP	37.009271	-120.079922
160	00	06	45120					Magalia CDP	39.826009	-121.603408
160	00	06	45246					Malibu city	34.030450	-118.778612
160	00	06	45358					Mammoth Lakes town	37.636893	-118.978915
160	00	06	45400					Manhattan Beach city	33.888980	-118.405357
160	00	06	45484					Manteca city	37.802777	-121.220818
160	00	06	45512					Manton CDP	40.419020	-121.863519
160	00	06	45680					March AFB CDP	33.898848	-117.276285
160	00	06	45736					Maricopa city	35.058276	-119.401164
160	00	06	45778					Marina city	36.678155	-121.797246
160	00	06	45806					Marina del Rey CDP	33.979361	-118.452912
160	00	06	45932					Mariposa CDP	37.487379	-119.968460
160	00	06	45988					Markleeville CDP	38.689148	-119.797184
160	00	06	46114					Martinez city	38.000588	-122.120081
160	00	06	46170					Marysville city	39.149343	-121.585544
160	00	06	46436					Mayflower Village CDP	34.117837	-118.009486
160	00	06	46492					Maywood city	33.987864	-118.186553
160	00	06	46618					Meadow Valley CDP	39.936921	-121.062051
160	00	06	46632					Meadow Vista CDP	39.003795	-121.029242
160	00	06	46660					Mecca CDP	33.573388	-116.073536
160	00	06	46702					Meiners Oaks CDP	34.449684	-119.275274
160	00	06	46814					Mendocino CDP	39.308179	-123.796064
160	00	06	46828					Mendota city	36.756198	-120.382118
160	00	06	46870					Menlo Park city	37.454188	-122.178579
160	00	06	46884					Mentone CDP	34.064663	-117.120242
160	00	06	46898					Merced city	37.305977	-120.477916
160	00	06	47013					Mesa CDP	37.421647	-118.544166
160	00	06	47086					Mesa Vista CDP	38.793034	-119.806138
160	00	06	47164					Mettler CDP	35.062659	-118.971781
160	00	06	47332					Middletown CDP	38.752735	-122.616959
160	00	06	47486					Millbrae city	37.600735	-122.401354
160	00	06	47710					Mill Valley city	37.905475	-122.543111
160	00	06	47724					Millville CDP	40.555904	-122.185250
160	00	06	47766					Milpitas city	37.434586	-121.895059
160	00	06	47794					Mineral CDP	40.355686	-121.567333
160	00	06	47976					Mira Loma CDP	33.984613	-117.515210
160	00	06	48046					Mira Monte CDP	34.427463	-119.290725
160	00	06	48147					Mission Canyon CDP	34.449797	-119.716315
160	00	06	48186					Mission Hills CDP	34.689303	-120.436150
160	00	06	48256					Mission Viejo city	33.612739	-117.656038
160	00	06	48298					Mi-Wuk Village CDP	38.061053	-120.187524
160	00	06	48354					Modesto city	37.661479	-120.994543
160	00	06	48448					Mohawk Vista CDP	39.781650	-120.580343
160	00	06	48452					Mojave CDP	35.016867	-118.189145
160	00	06	48480					Mokelumne Hill CDP	38.300404	-120.706343
160	00	06	48641					Mono Vista CDP	38.012087	-120.270701
160	00	06	48648					Monrovia city	34.144156	-118.001848
160	00	06	48690					Montague city	41.727168	-122.526468
160	00	06	48760					Montara CDP	37.539639	-122.506426
160	00	06	48788					Montclair city	34.070960	-117.697531
160	00	06	48816					Montebello city	34.014412	-118.114501
160	00	06	48844					Montecito CDP	34.433687	-119.631845
160	00	06	48872					Monterey city	36.600010	-121.890605
160	00	06	48914					Monterey Park city	34.049199	-118.135561
160	00	06	48928					Monte Rio CDP	38.470406	-123.013753
160	00	06	48956					Monte Sereno city	37.238194	-121.989475
160	00	06	48998					Montgomery Creek CDP	40.840230	-121.919586
160	00	06	49138					Moorpark city	34.281056	-118.873561
160	00	06	49180					Morada CDP	38.039971	-121.249389
160	00	06	49194					Moraga town	37.843776	-122.124500
160	00	06	49270					Moreno Valley city	33.926267	-117.228345
160	00	06	49278					Morgan Hill city	37.126795	-121.643166
160	00	06	49348					Morongo Valley CDP	34.055322	-116.582276
160	00	06	49362					Morro Bay city	35.379043	-120.853354
160	00	06	49446					Moss Beach CDP	37.525240	-122.512811
160	00	06	49488					Moss Landing CDP	36.799957	-121.785684
160	00	06	49600					Mountain Mesa CDP	35.638036	-118.405381
160	00	06	49628					Mountain Ranch CDP	38.251571	-120.514178
160	00	06	49651					Mountain View CDP	38.008821	-122.116424
160	00	06	49670					Mountain View city	37.392640	-122.082023
160	00	06	49684					Mountain View Acres CDP	34.496940	-117.348726
160	00	06	49768					Mount Hebron CDP	41.786373	-122.005132
160	00	06	49852					Mount Shasta city	41.314542	-122.311510
160	00	06	49950					Muir Beach CDP	37.863804	-122.581336
160	00	06	50034					Murphys CDP	38.139669	-120.452472
160	00	06	50076					Murrieta city	33.569566	-117.202453
160	00	06	50090					Murrieta Hot Springs CDP	33.562880	-117.155610
160	00	06	50132					Muscoy CDP	34.156009	-117.346552
160	00	06	50188					Myrtletown CDP	40.790623	-124.130082
160	00	06	50258					Napa city	38.304764	-122.298885
160	00	06	50398					National City city	32.670903	-117.092725
160	00	06	50706					Nebo Center CDP	34.870737	-116.950718
160	00	06	50734					Needles city	34.838312	-114.611067
160	00	06	50874					Nevada City city	39.261435	-121.018602
160	00	06	50916					Newark city	37.535586	-122.033629
160	00	06	51140					Newman city	37.315038	-121.022476
160	00	06	51182					Newport Beach city	33.616671	-117.897604
160	00	06	51186					Newport Coast CDP	33.599624	-117.827938
160	00	06	51294					Nice CDP	39.126774	-122.850256
160	00	06	51392					Niland CDP	33.238576	-115.513927
160	00	06	51476					Nipomo CDP	35.030027	-120.490032
160	00	06	51560					Norco city	33.927124	-117.561326
160	00	06	51637					North Auburn CDP	38.933881	-121.083769
160	00	06	51812					North Edwards CDP	35.050448	-117.808832
160	00	06	51820					North El Monte CDP	34.102958	-118.023319
160	00	06	51840					North Fair Oaks CDP	37.475170	-122.203506
160	00	06	51924					North Highlands CDP	38.673003	-121.372698
160	00	06	51990					North Lakeport CDP	39.085461	-122.909345
160	00	06	52452					North Woodbridge CDP	38.160369	-121.308981
160	00	06	52526					Norwalk city	33.906914	-118.083398
160	00	06	52582					Novato city	38.093370	-122.565215
160	00	06	52624					Nuevo CDP	33.807027	-117.128585
160	00	06	52694					Oakdale city	37.769178	-120.856958
160	00	06	52764					Oakhurst CDP	37.331487	-119.647915
160	00	06	53000					Oakland city	37.795227	-122.228111
160	00	06	53070					Oakley city	37.993474	-121.718340
160	00	06	53116					Oak Park CDP	34.171756	-118.757899
160	00	06	53182					Oak View CDP	34.397416	-119.300127
160	00	06	53266					Occidental CDP	38.421121	-122.954660
160	00	06	53294					Oceano CDP	35.102680	-120.611471
160	00	06	53322					Oceanside city	33.211566	-117.325701
160	00	06	53378					Ocotillo CDP	32.739308	-115.996683
160	00	06	53448					Oildale CDP	35.419957	-119.028867
160	00	06	53476					Ojai city	34.449079	-119.246654
160	00	06	53490					Olancha CDP	36.262509	-117.998944
160	00	06	53714					Olivehurst CDP	39.086345	-121.547769
160	00	06	53896					Ontario city	34.052811	-117.627861
160	00	06	53910					Onyx CDP	35.687683	-118.217511
160	00	06	53924					Opal Cliffs CDP	36.961500	-121.970920
160	00	06	53980					Orange city	33.802945	-117.832506
160	00	06	54008					Orange Cove city	36.624449	-119.313984
160	00	06	54092					Orangevale CDP	38.681903	-121.213824
160	00	06	54120					Orcutt CDP	34.874550	-120.428067
160	00	06	54232					Orinda city	37.882358	-122.175123
160	00	06	54274					Orland city	39.747758	-122.192169
160	00	06	54358					Orosi CDP	36.542448	-119.288808
160	00	06	54386					Oroville city	39.508651	-121.554560
160	00	06	54388					Oroville East CDP	39.511805	-121.504345
160	00	06	54652					Oxnard city	34.191292	-119.182497
160	00	06	54764					Pacheco CDP	37.986822	-122.068547
160	00	06	54806					Pacifica city	37.622685	-122.485507
160	00	06	54848					Pacific Grove city	36.619065	-121.921025
160	00	06	55044					Pajaro CDP	36.899488	-121.749283
160	00	06	55086					Palermo CDP	39.438286	-121.534769
160	00	06	55156					Palmdale city	34.581005	-118.100603
160	00	06	55184					Palm Desert city	33.725542	-116.369444
160	00	06	55254					Palm Springs city	33.823990	-116.530339
160	00	06	55282					Palo Alto city	37.429289	-122.138162
160	00	06	55296					Palo Cedro CDP	40.551091	-122.234255
160	00	06	55380					Palos Verdes Estates city	33.787049	-118.396657
160	00	06	55422					Palo Verde CDP	33.429419	-114.730094
160	00	06	55520					Paradise town	39.761708	-121.608716
160	00	06	55618					Paramount city	33.899915	-118.166651
160	00	06	55751					Parksdale CDP	36.943528	-120.021881
160	00	06	55837					Parkway-South Sacramento CDP	38.511657	-121.452288
160	00	06	55842					Parkwood CDP	36.934403	-120.053380
160	00	06	55856					Parlier city	36.609418	-119.536165
160	00	06	56000					Pasadena city	34.156098	-118.131808
160	00	06	56112					Patterson city	37.472984	-121.132867
160	00	06	56182					Paxton CDP	40.036559	-120.995701
160	00	06	56294					Pearsonville CDP	35.814477	-117.873781
160	00	06	56350					Pedley CDP	33.977971	-117.469356
160	00	06	56518					Penn Valley CDP	39.198214	-121.188965
160	00	06	56700					Perris city	33.796576	-117.224382
160	00	06	56784					Petaluma city	38.245849	-122.631276
160	00	06	56871					Phoenix Lake-Cedar Ridge CDP	38.019488	-120.297883
160	00	06	56924					Pico Rivera city	33.989013	-118.089121
160	00	06	56938					Piedmont city	37.821994	-122.231405
160	00	06	57204					Pine Hills CDP	40.741750	-124.162222
160	00	06	57240					Pine Mountain Club CDP	34.849331	-119.158141
160	00	06	57260					Pine Valley CDP	32.828184	-116.526583
160	00	06	57288					Pinole city	37.997509	-122.292086
160	00	06	57372					Piru CDP	34.407297	-118.799675
160	00	06	57414					Pismo Beach city	35.148336	-120.648054
160	00	06	57456					Pittsburg city	38.015021	-121.892491
160	00	06	57512					Pixley CDP	35.970405	-119.290729
